prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   117451, 125129467 req, miss ratio 0.9387, byte miss ratio 0.9387
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   117451, 125129467 req, miss ratio 0.9390, byte miss ratio 0.9390
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   352353, 125129467 req, miss ratio 0.9387, byte miss ratio 0.9387
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   117451, 125129467 req, miss ratio 0.9390, byte miss ratio 0.9390
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   352353, 125129467 req, miss ratio 0.9387, byte miss ratio 0.9387
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   117451, 125129467 req, miss ratio 0.9387, byte miss ratio 0.9387
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
