cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size        7, 42192311 req, miss ratio 0.7158, byte miss ratio 0.7158
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size       78, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size        7, 42192311 req, miss ratio 0.7771, byte miss ratio 0.7771
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       23, 42192311 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size        7, 42192311 req, miss ratio 0.7571, byte miss ratio 0.7571
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       23, 42192311 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size        7, 42192311 req, miss ratio 0.7633, byte miss ratio 0.7633
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       23, 42192311 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size        7, 42192311 req, miss ratio 0.7771, byte miss ratio 0.7771
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size       23, 42192311 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size        7, 42192311 req, miss ratio 0.7613, byte miss ratio 0.7613
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size       23, 42192311 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size      234, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst FIFO cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
